
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Acyclovir Ointment","Actavis Pharma, Inc.","800-545-8800","Zovirax, Ointment, 50 mg/1 g (NDC 0591-1159-30)","New","03/03/2025","","","","","Dermatology","To Be Discontinued","","03/03/2025","03/03/2025","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, 80 mg/.8 mL (NDC 61314-454-20)","New","04/14/2025","","","","","Rheumatology","To Be Discontinued","","04/14/2025","04/14/2025","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, 20 mg/.2 mL (NDC 61314-476-64)","New","04/14/2025","","","","","Rheumatology","To Be Discontinued","","04/14/2025","04/14/2025","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, 10 mg/.1 mL (NDC 61314-509-64)","New","04/14/2025","","","","","Rheumatology","To Be Discontinued","","04/14/2025","04/14/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0375-16)","New","03/03/2025","","","","","Rheumatology","To Be Discontinued","","03/03/2025","03/03/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0375-23)","New","03/03/2025","","","","","Rheumatology","To Be Discontinued","","03/03/2025","03/03/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0545-44)","New","01/06/2025","","","","","Rheumatology","To Be Discontinued","","01/06/2025","01/06/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0545-66)","New","01/06/2025","","","","","Rheumatology","To Be Discontinued","","01/06/2025","01/06/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0495-40)","New","01/06/2025","","","","","Rheumatology","To Be Discontinued","","01/06/2025","01/06/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0495-60)","New","01/06/2025","","","","","Rheumatology","To Be Discontinued","","01/06/2025","01/06/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0575-40)","New","01/06/2025","","","","","Rheumatology","To Be Discontinued","","01/06/2025","01/06/2025","","","","","","",""
"Adalimumab-adbm Injection","Boehringer Ingelheim Pharmaceuticals, Inc.","800-243-0127","Cyltezo, Injection, Kit (NDC 0597-0575-60)","New","01/06/2025","","","","","Rheumatology","To Be Discontinued","","01/06/2025","01/06/2025","","","","","","",""
"Adefovir Dipivoxil Tablet","Apotex Corp.","800-706-5575","Adefovir Dipivoxil, Tablet, 10 mg (NDC 60505-3947-3)","New","07/29/2025","","Discontinuation of the manufacture of the drug","","","Antiviral","To Be Discontinued","","07/29/2025","07/29/2025","","","","","","",""
"Albuterol Sulfate Solution","Rising Pharma Holdings, Inc.","201-961-9000","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 64980-642-03)","Reverified","08/15/2025","Available","","","","Pediatric; Pulmonary/Allergy","Current","","","10/25/2022","","","","","","",""
"Albuterol Sulfate Solution","Ritedose Pharmaceuticals, LLC","803-806-3300","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 76204-027-01)","Reverified","08/15/2025","Available","","","","Pediatric; Pulmonary/Allergy","Current","","","10/25/2022","","","","","","",""
"Albuterol Sulfate Solution","Nephron Pharmaceuticals Corporation","800-443-4313","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)","Reverified","09/15/2025","Available","Albuterol 0.5% is in stock, though demand remains high; additional supply can be produced as needed.","","Other","Pulmonary/Allergy; Pediatric","Current","","","10/25/2022","","","","","","",""
"Albuterol Sulfate Syrup","Actavis Pharma, Inc.","800-545-8800","Syrup, 2 mg/5 mL (NDC 0472-0825-16)","New","11/04/2024","","","","","Pulmonary/Allergy","To Be Discontinued","","11/04/2024","11/04/2024","","","","","","",""
"Amantadine Hydrochloride Capsule","Strides Pharma Inc.","877-244-9825 ","Amantadine Hydrochloride, Capsule, 100 mg (NDC 42543-493-01)","New","02/12/2025","","Discontinuation of manufacture of drug based on business decision","","","Antiviral; Neurology","To Be Discontinued","","02/12/2025","02/12/2025","","","","","","",""
"Amantadine Hydrochloride Capsule","Strides Pharma Inc.","877-244-9825 ","Amantadine Hydrochloride, Capsule, 100 mg (NDC 42543-493-05)","New","02/12/2025","","Discontinuation of manufacture of drug based on business decision","","","Antiviral; Neurology","To Be Discontinued","","02/12/2025","02/12/2025","","","","","","",""
"Amantadine Hydrochloride Capsule","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0591-4920-01)","New","02/05/2025","","A business decision was made to discontinue manufacture of the drug.","","","Antiviral; Neurology","To Be Discontinued","","02/05/2025","02/05/2025","","","","","","",""
"Amantadine Hydrochloride Capsule","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0591-4920-05)","New","02/05/2025","","A business decision was made to discontinue manufacture of the drug.","","","Antiviral; Neurology","To Be Discontinued","","02/05/2025","02/05/2025","","","","","","",""
"Amantadine Hydrochloride Capsule","Upsher-Smith Laboratories, LLC","763-315-2000","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0832-1015-00)","New","07/23/2025","","Discontinuation of the manufacture of the drug product","","","Antiviral; Neurology","To Be Discontinued","","07/23/2025","07/23/2025","","","","","","",""
